id;first_name;last_name;email;phone_number
1;Alexie;Marvin;Miller_Parisian@hotmail.com;iterate
2;Sister;Bergnaum;Camren86@hotmail.com;collaboration Liaison
3;Destiney;Ortiz;Bernhard97@yahoo.com;Pants interfaces input
4;Kassandra;McDermott;Jermain_Marvin16@hotmail.com;Orchestrator
5;Coty;Gutmann;Violette47@hotmail.com;eco-centric Handcrafted Multi-tiered
6;Terence;Kuhn;Camille_Dickens56@hotmail.com;back up Drives
7;Alberta;Schinner;Enid.Wiza24@gmail.com;compressing Home Loan Account
8;Maye;Ankunding;Litzy.Farrell52@yahoo.com;application
9;Shanon;Schultz;Lolita.Cartwright@hotmail.com;Games
10;Rogers;Fay;Lenore95@yahoo.com;collaborative Concrete object-oriented
